WarehouseID,ProductID,SKU,CurrentStock,ReorderPoint,LeadTimeDays,UnitHoldingCost,StockoutRiskScore
WH-US-EAST-1,PROD-0100,SKU-OFF-STO-0100,1816,570,19,153.49,0.0
WH-US-EAST-1,PROD-1180,SKU-LOG-BAR-1180,1165,640,6,162.41,0.0
WH-US-EAST-1,PROD-0965,SKU-FUR-LIG-0965,3411,344,8,154.84,0.0
WH-US-EAST-1,PROD-0793,SKU-TEC-ACC-0793,2844,210,6,103.69,0.0
WH-US-EAST-1,PROD-0030,SKU-LOG-PAL-0030,3218,210,8,39.87,0.0
WH-US-EAST-1,PROD-0629,SKU-LOG-LAB-0629,3448,253,13,84.09,0.0
WH-US-EAST-1,PROD-0945,SKU-TEC-AUD-0945,2175,499,24,119.35,0.0
WH-US-EAST-1,PROD-0573,SKU-TEC-LAP-0573,534,250,20,164.99,0.0
WH-US-EAST-1,PROD-0908,SKU-FUR-STO-0908,1545,688,5,106.65,0.0
WH-US-EAST-1,PROD-1081,SKU-LOG-IND-1081,534,204,6,64.71,0.0
WH-US-EAST-1,PROD-0451,SKU-OFF-ENV-0451,1208,543,4,117.93,0.0
WH-US-EAST-1,PROD-1610,SKU-LOG-BAR-1610,579,345,14,128.61,0.0
WH-US-EAST-1,PROD-1291,SKU-OFF-BIN-1291,1063,495,23,85.31,0.0
WH-US-EAST-1,PROD-1079,SKU-LOG-BAR-1079,3257,556,19,50.05,0.0
WH-US-EAST-1,PROD-0255,SKU-TEC-SMA-0255,707,672,21,145.66,0.0
WH-US-EAST-1,PROD-0125,SKU-LOG-PAL-0125,100,249,11,123.51,0.598
WH-US-EAST-1,PROD-1928,SKU-OFF-PEN-1928,237,700,6,41.47,0.661
WH-US-EAST-1,PROD-0252,SKU-TEC-LAP-0252,615,398,13,103.51,0.0
WH-US-EAST-1,PROD-0586,SKU-LOG-PAL-0586,1796,383,5,110.66,0.0
WH-US-EAST-1,PROD-1569,SKU-OFF-ENV-1569,1674,657,15,57.62,0.0
WH-US-EAST-1,PROD-0825,SKU-OFF-BIN-0825,1658,200,7,6.4,0.0
WH-US-EAST-1,PROD-0508,SKU-TEC-MON-0508,1895,247,15,65.63,0.0
WH-US-EAST-1,PROD-0890,SKU-TEC-LAP-0890,2337,747,8,84.96,0.0
WH-US-EAST-1,PROD-0071,SKU-LOG-PAL-0071,1937,691,23,49.63,0.0
WH-US-EAST-1,PROD-1609,SKU-OFF-PEN-1609,2312,719,11,4.0,0.0
WH-US-EAST-1,PROD-1533,SKU-FUR-OFF-1533,1959,674,24,71.42,0.0
WH-US-EAST-1,PROD-0248,SKU-TEC-ACC-0248,3277,620,5,105.05,0.0
WH-US-EAST-1,PROD-1451,SKU-OFF-PEN-1451,2273,228,22,55.2,0.0
WH-US-EAST-1,PROD-0213,SKU-OFF-BIN-0213,854,694,10,92.94,0.0
WH-US-EAST-1,PROD-0910,SKU-OFF-STO-0910,1298,660,24,129.25,0.0
WH-US-EAST-1,PROD-1742,SKU-FUR-LIG-1742,1857,196,14,117.41,0.0
WH-US-EAST-1,PROD-1245,SKU-LOG-PAL-1245,403,162,23,153.0,0.0
WH-US-EAST-1,PROD-1697,SKU-OFF-ENV-1697,3390,411,18,144.81,0.0
WH-US-EAST-1,PROD-1183,SKU-OFF-PAP-1183,992,151,23,100.66,0.0
WH-US-EAST-1,PROD-0362,SKU-LOG-PAC-0362,2312,181,8,99.89,0.0
WH-US-EAST-1,PROD-1474,SKU-OFF-ENV-1474,2158,318,6,122.21,0.0
WH-US-EAST-1,PROD-0679,SKU-TEC-AUD-0679,922,266,25,46.72,0.0
WH-US-EAST-1,PROD-1622,SKU-LOG-LAB-1622,362,455,19,95.99,0.204
WH-US-EAST-1,PROD-1090,SKU-LOG-IND-1090,747,468,23,168.89,0.0
WH-US-EAST-1,PROD-1988,SKU-LOG-IND-1988,418,458,10,114.69,0.087
WH-US-EAST-1,PROD-1848,SKU-OFF-ENV-1848,125,430,12,127.64,0.709
WH-US-EAST-1,PROD-0988,SKU-LOG-BAR-0988,1306,540,21,59.28,0.0
WH-US-EAST-1,PROD-1513,SKU-OFF-BIN-1513,1942,695,23,50.44,0.0
WH-US-EAST-1,PROD-0112,SKU-OFF-BIN-0112,2451,453,7,130.25,0.0
WH-US-EAST-1,PROD-1488,SKU-LOG-IND-1488,3302,485,21,19.54,0.0
WH-US-EAST-1,PROD-1454,SKU-OFF-BIN-1454,1730,376,12,41.73,0.0
WH-US-EAST-1,PROD-0384,SKU-FUR-DES-0384,2414,166,3,129.84,0.0
WH-US-EAST-1,PROD-1396,SKU-LOG-BAR-1396,414,612,16,57.22,0.324
WH-US-EAST-1,PROD-1055,SKU-TEC-ACC-1055,2194,381,10,42.6,0.0
WH-US-EAST-1,PROD-0756,SKU-TEC-SMA-0756,1173,518,3,19.89,0.0
WH-US-EAST-1,PROD-0325,SKU-LOG-LAB-0325,290,414,6,60.51,0.3
WH-US-EAST-1,PROD-1624,SKU-LOG-BAR-1624,2573,522,5,58.03,0.0
WH-US-EAST-1,PROD-0788,SKU-OFF-ENV-0788,2770,238,9,125.45,0.0
WH-US-EAST-1,PROD-0369,SKU-OFF-PAP-0369,2618,194,9,130.17,0.0
WH-US-EAST-1,PROD-1820,SKU-LOG-PAC-1820,147,603,15,26.79,0.756
WH-US-EAST-1,PROD-0070,SKU-FUR-LIG-0070,1638,222,18,73.28,0.0
WH-US-EAST-1,PROD-0858,SKU-OFF-STO-0858,57,546,25,10.73,0.896
WH-US-EAST-1,PROD-1484,SKU-TEC-ACC-1484,475,547,24,81.26,0.132
WH-US-EAST-1,PROD-1556,SKU-LOG-IND-1556,3002,561,20,149.63,0.0
WH-US-EAST-1,PROD-1692,SKU-OFF-PAP-1692,3045,424,16,37.81,0.0
WH-US-EAST-1,PROD-1475,SKU-LOG-BAR-1475,1313,701,24,47.29,0.0
WH-US-EAST-1,PROD-1799,SKU-TEC-LAP-1799,594,181,22,69.97,0.0
WH-US-EAST-1,PROD-0479,SKU-LOG-IND-0479,2178,650,7,7.94,0.0
WH-US-EAST-1,PROD-0282,SKU-LOG-LAB-0282,2214,466,19,49.01,0.0
WH-US-EAST-1,PROD-1648,SKU-LOG-LAB-1648,3453,222,19,54.77,0.0
WH-US-EAST-1,PROD-1557,SKU-TEC-MON-1557,472,697,15,144.7,0.323
WH-US-EAST-1,PROD-1730,SKU-OFF-BIN-1730,2391,552,22,4.98,0.0
WH-US-EAST-1,PROD-0211,SKU-OFF-STO-0211,612,381,11,37.31,0.0
WH-US-EAST-1,PROD-0298,SKU-LOG-PAL-0298,1082,412,4,51.56,0.0
WH-US-EAST-1,PROD-1885,SKU-LOG-PAC-1885,1377,528,17,50.7,0.0
WH-US-EAST-1,PROD-1834,SKU-OFF-PEN-1834,622,466,18,33.58,0.0
WH-US-EAST-1,PROD-0652,SKU-OFF-STO-0652,3136,622,8,111.25,0.0
WH-US-EAST-1,PROD-1234,SKU-OFF-BIN-1234,379,377,21,166.56,0.0
WH-US-EAST-1,PROD-1503,SKU-FUR-LIG-1503,1719,350,23,56.72,0.0
WH-US-EAST-1,PROD-1932,SKU-LOG-BAR-1932,1693,306,3,138.41,0.0
WH-US-EAST-1,PROD-0917,SKU-LOG-LAB-0917,2936,746,5,86.57,0.0
WH-US-EAST-1,PROD-0994,SKU-TEC-AUD-0994,1711,157,24,54.46,0.0
WH-US-EAST-1,PROD-0430,SKU-TEC-SMA-0430,1156,748,24,21.95,0.0
WH-US-EAST-1,PROD-1371,SKU-OFF-PAP-1371,1246,262,18,25.55,0.0
WH-US-EAST-1,PROD-0240,SKU-LOG-IND-0240,3053,311,9,57.3,0.0
WH-US-EAST-1,PROD-0880,SKU-TEC-LAP-0880,319,179,5,75.28,0.0
WH-US-EAST-1,PROD-0621,SKU-FUR-BOO-0621,1837,207,25,84.05,0.0
WH-US-EAST-1,PROD-0257,SKU-OFF-STO-0257,3324,549,16,15.41,0.0
WH-US-EAST-1,PROD-0612,SKU-FUR-LIG-0612,3414,689,15,57.01,0.0
WH-US-EAST-1,PROD-0545,SKU-LOG-PAL-0545,1034,598,7,26.6,0.0
WH-US-EAST-1,PROD-0772,SKU-OFF-STO-0772,449,708,14,143.79,0.366
WH-US-EAST-1,PROD-1420,SKU-LOG-BAR-1420,3262,718,21,127.88,0.0
WH-US-EAST-1,PROD-1042,SKU-FUR-BOO-1042,922,504,19,97.55,0.0
WH-US-EAST-1,PROD-1790,SKU-FUR-LIG-1790,1064,202,12,89.95,0.0
WH-US-EAST-1,PROD-0760,SKU-FUR-OFF-0760,2011,190,14,42.11,0.0
WH-US-EAST-1,PROD-0383,SKU-TEC-SMA-0383,2881,617,5,44.73,0.0
WH-US-EAST-1,PROD-1104,SKU-OFF-STO-1104,3427,312,16,9.53,0.0
WH-US-EAST-1,PROD-0974,SKU-FUR-STO-0974,1341,547,14,59.32,0.0
WH-US-EAST-1,PROD-0353,SKU-TEC-MON-0353,1613,434,6,87.62,0.0
WH-US-EAST-1,PROD-1606,SKU-FUR-LIG-1606,2827,588,13,150.74,0.0
WH-US-EAST-1,PROD-1826,SKU-OFF-PAP-1826,1658,549,16,62.2,0.0
WH-US-EAST-1,PROD-1037,SKU-LOG-BAR-1037,1914,247,13,116.26,0.0
WH-US-EAST-1,PROD-1108,SKU-FUR-OFF-1108,1917,264,5,138.48,0.0
WH-US-EAST-1,PROD-0495,SKU-FUR-LIG-0495,3407,271,7,152.79,0.0
WH-US-EAST-1,PROD-0394,SKU-LOG-IND-0394,199,656,3,96.88,0.697
WH-US-EAST-1,PROD-1547,SKU-LOG-BAR-1547,468,684,25,166.71,0.316
WH-US-EAST-1,PROD-0465,SKU-LOG-PAL-0465,2731,168,25,32.18,0.0
WH-US-EAST-1,PROD-0887,SKU-OFF-PAP-0887,1422,689,21,43.55,0.0
WH-US-EAST-1,PROD-1194,SKU-FUR-OFF-1194,825,526,21,9.52,0.0
WH-US-EAST-1,PROD-0367,SKU-FUR-DES-0367,1771,652,23,16.43,0.0
WH-US-EAST-1,PROD-1894,SKU-FUR-DES-1894,2455,340,16,15.35,0.0
WH-US-EAST-1,PROD-1874,SKU-OFF-STO-1874,787,520,13,69.84,0.0
WH-US-EAST-1,PROD-0745,SKU-FUR-LIG-0745,602,503,17,79.58,0.0
WH-US-EAST-1,PROD-0530,SKU-TEC-AUD-0530,1764,230,14,36.73,0.0
WH-US-EAST-1,PROD-0803,SKU-OFF-PAP-0803,155,393,9,97.82,0.606
WH-US-EAST-1,PROD-1224,SKU-TEC-SMA-1224,1462,675,23,113.07,0.0
WH-US-EAST-1,PROD-1979,SKU-LOG-BAR-1979,1097,698,4,61.69,0.0
WH-US-EAST-1,PROD-1906,SKU-TEC-AUD-1906,3482,678,16,87.37,0.0
WH-US-EAST-1,PROD-1700,SKU-TEC-ACC-1700,308,666,16,38.35,0.538
WH-US-EAST-1,PROD-1545,SKU-LOG-PAL-1545,2793,678,9,71.32,0.0
WH-US-EAST-1,PROD-1314,SKU-OFF-PAP-1314,3119,160,11,117.22,0.0
WH-US-EAST-1,PROD-0307,SKU-FUR-LIG-0307,876,436,7,111.95,0.0
WH-US-EAST-1,PROD-1667,SKU-OFF-STO-1667,699,657,20,69.92,0.0
WH-US-EAST-1,PROD-0863,SKU-LOG-IND-0863,1570,372,7,133.0,0.0
WH-US-EAST-1,PROD-1567,SKU-OFF-PEN-1567,3424,276,25,166.26,0.0
WH-US-EAST-1,PROD-0531,SKU-LOG-LAB-0531,2865,153,5,82.83,0.0
WH-US-EAST-1,PROD-0655,SKU-FUR-LIG-0655,2956,396,10,16.07,0.0
WH-US-EAST-1,PROD-1260,SKU-OFF-BIN-1260,2427,707,21,30.96,0.0
WH-US-EAST-1,PROD-0234,SKU-TEC-ACC-0234,3424,372,3,167.87,0.0
WH-US-EAST-1,PROD-0121,SKU-TEC-LAP-0121,2354,164,11,16.64,0.0
WH-US-EAST-1,PROD-1698,SKU-LOG-LAB-1698,70,198,10,52.57,0.646
WH-US-EAST-1,PROD-0950,SKU-FUR-BOO-0950,2046,580,14,142.0,0.0
WH-US-EAST-1,PROD-0618,SKU-FUR-OFF-0618,2309,466,24,104.3,0.0
WH-US-EAST-1,PROD-1179,SKU-LOG-PAC-1179,2363,166,6,57.42,0.0
WH-US-EAST-1,PROD-0308,SKU-LOG-PAL-0308,1285,193,13,139.15,0.0
WH-US-EAST-1,PROD-0136,SKU-TEC-MON-0136,1812,490,3,133.02,0.0
WH-US-EAST-1,PROD-0555,SKU-TEC-SMA-0555,646,510,17,69.0,0.0
WH-US-EAST-1,PROD-1674,SKU-TEC-MON-1674,2285,650,4,97.89,0.0
WH-US-EAST-1,PROD-0584,SKU-FUR-STO-0584,2794,197,22,18.37,0.0
WH-US-EAST-1,PROD-1641,SKU-LOG-PAL-1641,1370,207,7,159.44,0.0
WH-US-EAST-1,PROD-0671,SKU-FUR-BOO-0671,2834,622,22,134.5,0.0
WH-US-EAST-1,PROD-0835,SKU-FUR-BOO-0835,2348,157,11,7.5,0.0
WH-US-EAST-1,PROD-0110,SKU-FUR-OFF-0110,1641,347,15,155.88,0.0
WH-US-EAST-1,PROD-1165,SKU-TEC-LAP-1165,2516,219,22,12.25,0.0
WH-US-EAST-1,PROD-1960,SKU-FUR-LIG-1960,3164,739,6,62.82,0.0
WH-US-EAST-1,PROD-1465,SKU-TEC-LAP-1465,2154,347,19,156.77,0.0
WH-US-EAST-1,PROD-1729,SKU-LOG-IND-1729,1760,423,19,93.34,0.0
WH-US-EAST-1,PROD-1243,SKU-OFF-BIN-1243,3129,703,9,16.29,0.0
WH-US-EAST-1,PROD-0212,SKU-FUR-STO-0212,1598,286,16,2.78,0.0
WH-US-EAST-1,PROD-1768,SKU-OFF-STO-1768,2443,574,5,142.77,0.0
WH-US-EAST-1,PROD-1121,SKU-TEC-SMA-1121,1731,348,15,141.38,0.0
WH-US-EAST-1,PROD-0680,SKU-TEC-ACC-0680,1863,636,5,140.47,0.0
WH-US-EAST-1,PROD-1951,SKU-LOG-PAC-1951,1905,618,13,68.95,0.0
WH-US-EAST-1,PROD-1839,SKU-LOG-BAR-1839,798,570,25,154.63,0.0
WH-US-EAST-1,PROD-0412,SKU-OFF-ENV-0412,2829,734,25,37.42,0.0
WH-US-EAST-1,PROD-1325,SKU-TEC-ACC-1325,1265,334,25,60.56,0.0
WH-US-EAST-1,PROD-0783,SKU-FUR-BOO-0783,1615,251,14,67.21,0.0
WH-US-EAST-1,PROD-1346,SKU-LOG-BAR-1346,1154,703,23,10.73,0.0
WH-US-EAST-1,PROD-0875,SKU-OFF-BIN-0875,2555,623,20,12.6,0.0
WH-US-EAST-1,PROD-1653,SKU-FUR-OFF-1653,2269,240,24,131.3,0.0
WH-US-EAST-1,PROD-1279,SKU-LOG-IND-1279,2647,421,6,25.48,0.0
WH-US-EAST-1,PROD-0786,SKU-FUR-OFF-0786,2866,291,11,48.63,0.0
WH-US-EAST-1,PROD-1819,SKU-LOG-PAL-1819,1383,317,17,84.07,0.0
WH-US-EAST-1,PROD-1199,SKU-FUR-OFF-1199,3121,633,4,170.79,0.0
WH-US-EAST-1,PROD-0808,SKU-TEC-SMA-0808,1521,189,20,13.51,0.0
WH-US-EAST-1,PROD-0713,SKU-OFF-PEN-0713,3335,633,13,92.62,0.0
WH-US-EAST-1,PROD-1991,SKU-TEC-ACC-1991,1424,191,13,7.56,0.0
WH-US-EAST-1,PROD-1660,SKU-LOG-PAL-1660,1801,316,11,88.11,0.0
WH-US-EAST-1,PROD-1191,SKU-LOG-PAL-1191,1249,697,5,70.15,0.0
WH-US-EAST-1,PROD-1226,SKU-OFF-STO-1226,2266,699,20,158.52,0.0
WH-US-EAST-1,PROD-0603,SKU-LOG-BAR-0603,2740,544,17,95.8,0.0
WH-US-EAST-1,PROD-0271,SKU-OFF-ENV-0271,2155,526,3,120.57,0.0
WH-US-EAST-1,PROD-1385,SKU-TEC-LAP-1385,455,381,21,85.63,0.0
WH-US-EAST-1,PROD-0232,SKU-LOG-PAL-0232,502,740,9,102.47,0.322
WH-US-EAST-1,PROD-0050,SKU-OFF-BIN-0050,2192,622,4,142.52,0.0
WH-US-EAST-1,PROD-0463,SKU-LOG-IND-0463,1835,435,25,118.71,0.0
WH-US-EAST-1,PROD-1106,SKU-LOG-PAL-1106,370,455,8,25.58,0.187
WH-US-EAST-1,PROD-0856,SKU-FUR-BOO-0856,129,253,10,86.78,0.49
WH-US-EAST-1,PROD-0694,SKU-FUR-OFF-0694,1172,700,12,8.29,0.0
WH-US-EAST-1,PROD-1552,SKU-LOG-PAC-1552,907,715,8,93.71,0.0
WH-US-EAST-1,PROD-1873,SKU-FUR-OFF-1873,2275,226,12,46.25,0.0
WH-US-EAST-1,PROD-0527,SKU-LOG-PAL-0527,108,449,15,61.92,0.759
WH-US-EAST-1,PROD-0174,SKU-LOG-PAL-0174,764,469,18,59.48,0.0
WH-US-EAST-1,PROD-0721,SKU-LOG-LAB-0721,2222,597,24,57.89,0.0
WH-US-EAST-1,PROD-0415,SKU-OFF-STO-0415,3020,350,14,90.18,0.0
WH-US-EAST-1,PROD-0238,SKU-FUR-DES-0238,3483,600,8,117.41,0.0
WH-US-EAST-1,PROD-1473,SKU-OFF-PEN-1473,923,570,24,138.91,0.0
WH-US-EAST-1,PROD-1336,SKU-FUR-BOO-1336,705,643,10,67.77,0.0
WH-US-EAST-1,PROD-1064,SKU-TEC-AUD-1064,992,198,19,20.02,0.0
WH-US-EAST-1,PROD-0024,SKU-LOG-IND-0024,2746,734,3,8.85,0.0
WH-US-EAST-1,PROD-1767,SKU-LOG-IND-1767,1030,463,13,72.66,0.0
WH-US-EAST-1,PROD-0064,SKU-LOG-PAC-0064,3220,453,12,45.84,0.0
WH-US-EAST-1,PROD-0290,SKU-TEC-MON-0290,1665,662,12,99.86,0.0
WH-US-EAST-1,PROD-0189,SKU-FUR-DES-0189,3331,404,8,90.05,0.0
WH-US-EAST-1,PROD-0702,SKU-LOG-PAL-0702,3460,214,4,93.93,0.0
WH-US-EAST-1,PROD-1815,SKU-FUR-BOO-1815,2472,479,12,118.45,0.0
WH-US-EAST-1,PROD-1138,SKU-OFF-BIN-1138,2502,546,20,145.78,0.0
WH-US-EAST-1,PROD-0355,SKU-FUR-LIG-0355,1754,254,18,74.73,0.0
WH-US-EAST-1,PROD-0417,SKU-TEC-AUD-0417,1926,342,4,141.84,0.0
WH-US-EAST-1,PROD-1246,SKU-FUR-BOO-1246,3242,633,21,77.1,0.0
WH-US-EAST-1,PROD-0931,SKU-OFF-PEN-0931,52,736,22,31.85,0.929
WH-US-EAST-1,PROD-0197,SKU-LOG-IND-0197,351,734,22,56.7,0.522
WH-US-EAST-1,PROD-0580,SKU-FUR-STO-0580,2665,662,11,167.1,0.0
WH-US-EAST-1,PROD-1135,SKU-OFF-PAP-1135,1665,606,16,81.26,0.0
WH-US-EAST-1,PROD-1814,SKU-TEC-LAP-1814,319,626,3,74.98,0.49
WH-US-EAST-1,PROD-1935,SKU-LOG-PAL-1935,2484,738,14,100.66,0.0
WH-US-EAST-1,PROD-0434,SKU-OFF-PEN-0434,523,244,4,104.3,0.0
WH-US-EAST-1,PROD-0101,SKU-LOG-PAL-0101,922,509,15,65.78,0.0
WH-US-EAST-1,PROD-1655,SKU-LOG-BAR-1655,3026,316,13,89.25,0.0
WH-US-EAST-1,PROD-0395,SKU-OFF-PEN-0395,2016,557,7,71.64,0.0
WH-US-EAST-1,PROD-1939,SKU-OFF-PAP-1939,322,208,23,116.24,0.0
WH-US-EAST-1,PROD-0221,SKU-LOG-PAL-0221,2477,184,7,8.96,0.0
WH-US-EAST-1,PROD-1676,SKU-TEC-ACC-1676,2197,176,14,2.75,0.0
WH-US-EAST-1,PROD-1498,SKU-FUR-OFF-1498,1898,501,14,34.28,0.0
WH-US-EAST-1,PROD-1785,SKU-TEC-SMA-1785,135,174,4,55.04,0.224
WH-US-EAST-1,PROD-0345,SKU-LOG-BAR-0345,3174,412,12,79.65,0.0
WH-US-EAST-1,PROD-1028,SKU-LOG-PAC-1028,1163,225,14,163.25,0.0
WH-US-EAST-1,PROD-0889,SKU-TEC-ACC-0889,1786,541,24,30.4,0.0
WH-US-EAST-1,PROD-1351,SKU-TEC-AUD-1351,1015,192,14,74.25,0.0
WH-US-EAST-1,PROD-0553,SKU-LOG-PAL-0553,3018,609,8,131.56,0.0
WH-US-EAST-1,PROD-0744,SKU-OFF-PEN-0744,2075,531,16,122.07,0.0
WH-US-EAST-1,PROD-1542,SKU-TEC-AUD-1542,673,341,3,27.5,0.0
WH-US-EAST-1,PROD-0539,SKU-FUR-STO-0539,710,266,17,72.71,0.0
WH-US-EAST-1,PROD-0907,SKU-OFF-BIN-0907,1347,703,21,114.98,0.0
WH-US-EAST-1,PROD-1395,SKU-LOG-LAB-1395,772,724,9,98.14,0.0
WH-US-EAST-1,PROD-0116,SKU-LOG-BAR-0116,2351,172,13,114.9,0.0
WH-US-EAST-1,PROD-0830,SKU-LOG-PAL-0830,834,620,3,21.86,0.0
WH-US-EAST-1,PROD-1938,SKU-OFF-BIN-1938,521,382,23,152.12,0.0
WH-US-EAST-1,PROD-0809,SKU-OFF-BIN-0809,1998,551,25,8.73,0.0
WH-US-EAST-1,PROD-1311,SKU-OFF-PAP-1311,3074,179,24,8.42,0.0
WH-US-EAST-1,PROD-1005,SKU-FUR-STO-1005,1909,339,3,41.33,0.0
WH-US-EAST-1,PROD-0306,SKU-LOG-IND-0306,2791,371,7,5.9,0.0
WH-US-EAST-1,PROD-1101,SKU-LOG-PAC-1101,3037,435,19,106.25,0.0
WH-US-EAST-1,PROD-0480,SKU-FUR-OFF-0480,2529,347,7,16.61,0.0
WH-US-EAST-1,PROD-1424,SKU-OFF-PAP-1424,971,626,18,88.75,0.0
WH-US-EAST-1,PROD-1076,SKU-TEC-MON-1076,1537,580,18,2.7,0.0
WH-US-EAST-1,PROD-0571,SKU-LOG-LAB-0571,1989,427,15,157.87,0.0
WH-US-EAST-1,PROD-0619,SKU-FUR-BOO-0619,1629,708,13,22.94,0.0
WH-US-EAST-1,PROD-1898,SKU-FUR-STO-1898,877,340,11,128.29,0.0
WH-US-EAST-1,PROD-1266,SKU-OFF-PAP-1266,518,450,19,104.45,0.0
WH-US-EAST-1,PROD-0079,SKU-LOG-BAR-0079,1198,309,16,27.9,0.0
WH-US-EAST-1,PROD-1912,SKU-LOG-LAB-1912,2700,725,22,53.04,0.0
WH-US-EAST-1,PROD-0033,SKU-LOG-BAR-0033,2121,713,4,40.75,0.0
WH-US-EAST-1,PROD-1538,SKU-FUR-DES-1538,2033,601,14,65.24,0.0
WH-US-EAST-1,PROD-1034,SKU-LOG-BAR-1034,1990,442,16,11.41,0.0
WH-US-EAST-1,PROD-1563,SKU-OFF-PAP-1563,3288,502,19,45.07,0.0
WH-US-EAST-1,PROD-0352,SKU-TEC-AUD-0352,1427,599,20,154.38,0.0
WH-US-EAST-1,PROD-0164,SKU-TEC-MON-0164,1562,553,12,125.84,0.0
WH-US-EAST-1,PROD-0204,SKU-TEC-AUD-0204,1541,239,25,108.27,0.0
WH-US-EAST-1,PROD-1054,SKU-OFF-PAP-1054,2422,333,11,3.86,0.0
WH-US-EAST-1,PROD-1365,SKU-TEC-MON-1365,603,609,21,149.55,0.01
WH-US-EAST-1,PROD-1967,SKU-TEC-LAP-1967,1031,421,15,140.35,0.0
WH-US-EAST-1,PROD-0496,SKU-OFF-BIN-0496,2244,280,23,150.06,0.0
WH-US-EAST-1,PROD-1625,SKU-FUR-OFF-1625,2566,722,14,59.07,0.0
WH-US-EAST-1,PROD-1966,SKU-OFF-STO-1966,413,558,14,4.35,0.26
WH-US-EAST-1,PROD-1963,SKU-TEC-AUD-1963,631,337,24,116.79,0.0
WH-US-EAST-1,PROD-0611,SKU-OFF-PAP-0611,2175,652,9,19.13,0.0
WH-US-EAST-1,PROD-0433,SKU-TEC-SMA-0433,1376,260,5,135.58,0.0
WH-US-EAST-1,PROD-1492,SKU-LOG-LAB-1492,2295,628,18,5.59,0.0
WH-US-EAST-1,PROD-0219,SKU-FUR-BOO-0219,2212,552,10,142.37,0.0
WH-US-EAST-1,PROD-1931,SKU-FUR-DES-1931,1103,219,11,31.51,0.0
WH-US-EAST-1,PROD-1466,SKU-LOG-LAB-1466,1205,723,18,117.15,0.0
WH-US-EAST-1,PROD-0631,SKU-FUR-OFF-0631,2764,646,17,147.64,0.0
WH-US-EAST-1,PROD-1382,SKU-TEC-AUD-1382,1271,605,16,39.23,0.0
WH-US-EAST-1,PROD-1302,SKU-OFF-PAP-1302,3224,351,21,134.21,0.0
WH-US-EAST-1,PROD-0060,SKU-FUR-LIG-0060,1865,229,3,79.1,0.0
WH-US-EAST-1,PROD-0299,SKU-LOG-PAL-0299,831,218,19,30.85,0.0
WH-US-EAST-1,PROD-1711,SKU-LOG-BAR-1711,2239,599,8,150.09,0.0
WH-US-EAST-1,PROD-0074,SKU-OFF-STO-0074,2076,648,21,164.43,0.0
WH-US-EAST-1,PROD-0163,SKU-FUR-STO-0163,1752,206,16,5.91,0.0
WH-US-EAST-1,PROD-1275,SKU-FUR-OFF-1275,2773,702,19,160.92,0.0
WH-US-EAST-1,PROD-1594,SKU-OFF-PEN-1594,3294,684,24,95.4,0.0
