ReturnID,OrderID,ReturnDate,ProductID,ReturnReason,RefundAmount,RestockFee
RET-0000058,ORD-00377631,2025-03-11,PROD-0107,Defective Product,3512.91,351.29
RET-0000059,ORD-00093036,2024-12-14,PROD-1711,Defective Product,7253.68,725.37
RET-0000060,ORD-00134659,2023-07-27,PROD-1536,Defective Product,709.53,70.95
RET-0000061,ORD-00267383,2023-03-09,PROD-0427,Defective Product,1148.53,114.85
RET-0000062,ORD-00300660,2024-05-09,PROD-0843,Defective Product,4814.01,481.4
RET-0000063,ORD-00079372,2026-01-04,PROD-1912,Defective Product,4632.65,463.26
RET-0000064,ORD-00078022,2025-03-11,PROD-1020,Late Delivery,1851.89,185.19
RET-0000065,ORD-00051658,2025-01-01,PROD-0214,Wrong Item Sent,3518.34,351.83
RET-0000066,ORD-00498730,2024-01-14,PROD-0699,Damaged Packaging,11831.33,1183.13
RET-0000067,ORD-00135019,2023-05-22,PROD-1560,Wrong Item Sent,5578.38,557.84
RET-0000068,ORD-00352753,2024-06-02,PROD-0203,Late Delivery,7219.43,721.94
RET-0000069,ORD-00131072,2025-03-13,PROD-0063,Wrong Item Sent,5625.68,562.57
RET-0000070,ORD-00099547,2025-10-02,PROD-0247,Damaged Packaging,1470.92,147.09
RET-0000071,ORD-00240429,2023-09-29,PROD-0147,Defective Product,4406.34,440.63
RET-0000072,ORD-00081658,2023-08-19,PROD-0451,Buyer Remorse,5586.84,558.68
RET-0000073,ORD-00139845,2023-04-08,PROD-1123,Late Delivery,3592.68,359.27
RET-0000074,ORD-00356364,2025-05-21,PROD-1922,Buyer Remorse,6756.42,675.64
RET-0000075,ORD-00054117,2025-10-18,PROD-0044,Buyer Remorse,1501.89,150.19
RET-0000076,ORD-00072956,2023-07-29,PROD-0801,Defective Product,1032.44,103.24
RET-0000077,ORD-00202933,2025-03-05,PROD-1329,Defective Product,6823.96,682.4
RET-0000078,ORD-00122155,2023-05-25,PROD-1063,Wrong Item Sent,2887.81,288.78
RET-0000079,ORD-00508886,2023-06-22,PROD-1982,Damaged Packaging,646.2,64.62
RET-0000080,ORD-00354406,2025-01-05,PROD-0317,Wrong Item Sent,12199.33,1219.93
RET-0000081,ORD-00305882,2024-03-01,PROD-1719,Wrong Item Sent,4359.81,435.98
RET-0000082,ORD-00468054,2023-06-01,PROD-0905,Buyer Remorse,1066.81,106.68
RET-0000083,ORD-00031308,2023-08-04,PROD-0227,Defective Product,494.58,49.46
RET-0000084,ORD-00261496,2024-06-29,PROD-1532,Late Delivery,1105.85,110.58
RET-0000085,ORD-00498099,2023-09-09,PROD-0931,Late Delivery,2549.34,254.93
RET-0000086,ORD-00195147,2023-01-30,PROD-1051,Buyer Remorse,2672.96,267.3
RET-0000087,ORD-00268409,2025-03-27,PROD-1247,Defective Product,1929.07,192.91
RET-0000088,ORD-00313267,2025-02-18,PROD-0102,Wrong Item Sent,8653.86,865.39
RET-0000089,ORD-00065350,2025-06-05,PROD-0239,Defective Product,7756.76,775.68
RET-0000090,ORD-00453469,2024-06-11,PROD-0032,Late Delivery,2354.87,235.49
RET-0000091,ORD-00330524,2023-07-02,PROD-1857,Wrong Item Sent,11380.68,1138.07
RET-0000092,ORD-00231140,2024-07-14,PROD-1862,Wrong Item Sent,3177.9,317.79
RET-0000093,ORD-00409585,2025-03-14,PROD-1289,Defective Product,12455.69,1245.57
RET-0000094,ORD-00376629,2024-05-20,PROD-1779,Defective Product,3622.86,362.29
RET-0000095,ORD-00270491,2024-07-29,PROD-1760,Late Delivery,7715.14,771.51
RET-0000096,ORD-00337199,2025-12-09,PROD-1182,Buyer Remorse,1053.55,105.36
RET-0000097,ORD-00312206,2023-10-08,PROD-1509,Buyer Remorse,1350.54,135.05
RET-0000098,ORD-00219726,2023-12-30,PROD-0400,Defective Product,9481.91,948.19
RET-0000099,ORD-00031761,2024-02-13,PROD-0162,Wrong Item Sent,1053.22,105.32
RET-0000100,ORD-00173904,2025-03-11,PROD-1825,Defective Product,7222.7,722.27
RET-0000101,ORD-00502850,2024-05-18,PROD-1359,Late Delivery,14948.73,1494.87
RET-0000102,ORD-00490022,2024-11-26,PROD-1201,Late Delivery,1242.84,124.28
RET-0000103,ORD-00251356,2023-10-20,PROD-1982,Wrong Item Sent,646.2,64.62
RET-0000104,ORD-00126710,2024-05-25,PROD-0403,Defective Product,2766.84,276.68
RET-0000105,ORD-00201752,2025-02-04,PROD-1266,Damaged Packaging,5146.1,514.61
RET-0000106,ORD-00091373,2025-02-11,PROD-0779,Late Delivery,3562.5,356.25
RET-0000107,ORD-00138928,2024-11-15,PROD-0730,Damaged Packaging,7147.12,714.71
RET-0000108,ORD-00032783,2023-05-05,PROD-1306,Wrong Item Sent,2681.48,268.15
RET-0000109,ORD-00505852,2025-06-24,PROD-1071,Wrong Item Sent,7957.71,795.77
RET-0000110,ORD-00440075,2025-09-12,PROD-1077,Damaged Packaging,1083.27,108.33
RET-0000111,ORD-00348745,2023-07-20,PROD-1522,Late Delivery,7457.4,745.74
RET-0000112,ORD-00194145,2023-09-03,PROD-1270,Late Delivery,889.48,88.95
RET-0000113,ORD-00112016,2025-12-14,PROD-0126,Buyer Remorse,4764.37,476.44
RET-0000114,ORD-00141530,2025-05-06,PROD-0564,Late Delivery,3467.45,346.74
RET-0000115,ORD-00084817,2025-02-10,PROD-0243,Wrong Item Sent,2943.27,294.33
RET-0000116,ORD-00076011,2025-06-12,PROD-0445,Late Delivery,3455.28,345.53
RET-0000117,ORD-00445380,2025-11-28,PROD-0545,Wrong Item Sent,558.35,55.84
RET-0000118,ORD-00307359,2024-05-06,PROD-1950,Wrong Item Sent,3455.41,345.54
RET-0000119,ORD-00001323,2023-10-24,PROD-1232,Damaged Packaging,8097.21,809.72
RET-0000120,ORD-00118529,2023-07-26,PROD-0257,Late Delivery,581.51,58.15
RET-0000121,ORD-00216333,2025-05-05,PROD-0341,Late Delivery,717.99,71.8
RET-0000122,ORD-00482740,2024-06-09,PROD-1765,Defective Product,4215.11,421.51
RET-0000123,ORD-00274994,2023-06-28,PROD-1670,Wrong Item Sent,10708.01,1070.8
RET-0000124,ORD-00252131,2025-06-24,PROD-1093,Defective Product,81.79,8.18
RET-0000125,ORD-00050723,2023-07-29,PROD-0078,Damaged Packaging,2759.58,275.96
RET-0000126,ORD-00280796,2025-05-21,PROD-1184,Defective Product,5544.48,554.45
RET-0000127,ORD-00391794,2023-05-13,PROD-1576,Buyer Remorse,1271.24,127.12
RET-0000128,ORD-00384675,2024-04-19,PROD-0628,Buyer Remorse,5760.7,576.07
RET-0000129,ORD-00486660,2024-04-04,PROD-0225,Wrong Item Sent,8264.24,826.42
RET-0000130,ORD-00286770,2025-12-17,PROD-1269,Defective Product,3476.06,347.61
RET-0000131,ORD-00415532,2025-10-01,PROD-0330,Damaged Packaging,2921.6,292.16
RET-0000132,ORD-00269678,2025-10-12,PROD-1865,Defective Product,14532.84,1453.28
RET-0000133,ORD-00177348,2025-12-19,PROD-0381,Buyer Remorse,906.64,90.66
RET-0000134,ORD-00170173,2023-05-03,PROD-0702,Defective Product,9183.29,918.33
RET-0000135,ORD-00359782,2023-03-10,PROD-0669,Late Delivery,25.57,2.56
RET-0000136,ORD-00265945,2025-08-20,PROD-1555,Defective Product,1708.7,170.87
RET-0000137,ORD-00468763,2024-05-09,PROD-0191,Wrong Item Sent,1987.84,198.78
RET-0000138,ORD-00069257,2025-09-01,PROD-0787,Defective Product,2269.33,226.93
RET-0000139,ORD-00430862,2023-02-16,PROD-0429,Buyer Remorse,2784.8,278.48
RET-0000140,ORD-00223179,2023-04-30,PROD-1903,Damaged Packaging,1045.76,104.58
RET-0000141,ORD-00135076,2025-04-17,PROD-0553,Late Delivery,11172.59,1117.26
RET-0000142,ORD-00335311,2024-10-17,PROD-0502,Late Delivery,7125.61,712.56
RET-0000143,ORD-00204972,2025-12-31,PROD-1198,Defective Product,1952.21,195.22
RET-0000144,ORD-00427567,2024-05-23,PROD-1159,Wrong Item Sent,7885.35,788.54
RET-0000145,ORD-00023415,2023-05-10,PROD-1481,Buyer Remorse,9497.58,949.76
RET-0000146,ORD-00149134,2024-06-07,PROD-1775,Defective Product,3623.64,362.36
RET-0000147,ORD-00153083,2024-07-24,PROD-1560,Late Delivery,3984.56,398.46
RET-0000148,ORD-00419735,2024-11-22,PROD-0419,Damaged Packaging,504.56,50.46
RET-0000149,ORD-00039379,2023-10-12,PROD-1438,Defective Product,317.43,31.74
RET-0000150,ORD-00254393,2024-06-10,PROD-0806,Wrong Item Sent,5894.56,589.46
