OrderID,OrderDate,CustomerID,ProductID,WarehouseID,CarrierID,Quantity,UnitPrice,UnitCost,DiscountRate,GrossRevenue,NetRevenue,COGS,ShippingCost,Profit,TransitDays,PromisedDays,IsLate
ORD-00000055,2025-11-25,CUST-009715,PROD-1407,WH-EU-CENT-1,CAR-01,11,514.26,417.73,0.1,5656.86,5091.17,4595.03,11.94,484.2,4,4,0
ORD-00000056,2025-04-08,CUST-022824,PROD-1363,WH-APAC-SING-1,CAR-04,3,809.18,445.05,0.0,2427.54,2427.54,1335.15,33.98,1058.41,1,1,0
ORD-00000057,2023-12-10,CUST-015650,PROD-1860,WH-EU-CENT-1,CAR-06,3,642.05,411.36,0.05,1926.15,1829.84,1234.08,10.13,585.63,2,2,0
ORD-00000058,2025-09-29,CUST-017009,PROD-0673,WH-US-EAST-2,CAR-01,6,414.2,298.39,0.0,2485.2,2485.2,1790.34,10.43,684.43,4,4,0
ORD-00000059,2024-09-11,CUST-018801,PROD-0491,WH-US-EAST-1,CAR-08,8,915.55,605.73,0.05,7324.4,6958.18,4845.84,30.76,2081.58,3,2,1
ORD-00000060,2024-03-27,CUST-017537,PROD-1525,WH-EU-WEST-1,CAR-06,1,473.69,337.17,0.05,473.69,450.01,337.17,32.96,79.88,7,7,0
ORD-00000061,2025-10-25,CUST-001299,PROD-0419,WH-APAC-OSAK-1,CAR-02,11,504.56,284.27,0.0,5550.16,5550.16,3126.97,12.44,2410.75,6,6,0
ORD-00000062,2025-11-22,CUST-016760,PROD-0743,WH-US-WEST-2,CAR-07,6,689.07,554.22,0.15,4134.42,3514.26,3325.32,45.36,143.58,1,1,0
ORD-00000063,2025-02-18,CUST-021592,PROD-0417,WH-APAC-TYO-1,CAR-03,10,1177.91,788.02,0.15,11779.1,10012.24,7880.2,35.78,2096.26,6,6,0
ORD-00000064,2024-09-05,CUST-020377,PROD-0084,WH-EU-WEST-1,CAR-01,5,1627.63,900.08,0.0,8138.15,8138.15,4500.4,32.42,3605.33,5,5,0
ORD-00000065,2023-12-22,CUST-021444,PROD-1761,WH-UK-MANC-1,CAR-08,2,289.23,175.62,0.05,578.46,549.54,351.24,27.54,170.76,6,7,0
ORD-00000066,2025-03-22,CUST-022744,PROD-0187,WH-APAC-SING-1,CAR-08,5,397.66,229.17,0.0,1988.3,1988.3,1145.85,17.13,825.32,1,1,0
ORD-00000067,2024-01-20,CUST-001383,PROD-1906,WH-US-EAST-1,CAR-08,10,664.83,485.39,0.2,6648.3,5318.64,4853.9,34.7,430.04,2,2,0
ORD-00000068,2024-10-25,CUST-017236,PROD-1507,WH-UK-LOND-1,CAR-02,2,931.76,423.39,0.0,1863.52,1863.52,846.78,47.78,968.96,7,7,0
ORD-00000069,2025-02-13,CUST-005601,PROD-1550,WH-APAC-OSAK-1,CAR-02,7,94.23,56.55,0.0,659.61,659.61,395.85,41.9,221.86,3,2,1
ORD-00000070,2023-03-04,CUST-009500,PROD-1517,WH-US-EAST-2,CAR-06,11,464.5,228.95,0.0,5109.5,5109.5,2518.45,6.51,2584.54,7,7,0
ORD-00000071,2024-03-31,CUST-011371,PROD-0608,WH-APAC-SYD-1,CAR-05,11,437.54,329.29,0.0,4812.94,4812.94,3622.19,33.41,1157.34,2,2,0
ORD-00000072,2023-11-01,CUST-014125,PROD-1386,WH-US-WEST-2,CAR-08,2,172.88,123.4,0.1,345.76,311.18,246.8,25.77,38.61,5,5,0
ORD-00000073,2024-06-07,CUST-008675,PROD-0705,WH-US-EAST-2,CAR-02,9,801.09,375.79,0.1,7209.81,6488.83,3382.11,41.14,3065.58,6,7,0
ORD-00000074,2024-07-19,CUST-015592,PROD-0162,WH-APAC-TYO-1,CAR-04,8,619.54,490.92,0.0,4956.32,4956.32,3927.36,42.73,986.23,2,1,1
ORD-00000075,2025-11-22,CUST-005164,PROD-1421,WH-US-EAST-2,CAR-03,9,402.32,188.85,0.05,3620.88,3439.84,1699.65,39.14,1701.05,7,8,0
ORD-00000076,2023-06-27,CUST-009111,PROD-1460,WH-US-WEST-2,CAR-02,2,387.37,177.96,0.0,774.74,774.74,355.92,15.5,403.32,2,2,0
ORD-00000077,2025-08-19,CUST-018913,PROD-0985,WH-UK-MANC-1,CAR-01,3,519.17,322.61,0.1,1557.51,1401.76,967.83,6.06,427.87,5,5,0
ORD-00000078,2025-09-10,CUST-022606,PROD-0171,WH-US-EAST-1,CAR-05,10,1287.54,852.48,0.15,12875.4,10944.09,8524.8,19.79,2399.5,6,5,1
ORD-00000079,2023-06-10,CUST-018750,PROD-1305,WH-UK-MANC-1,CAR-07,2,528.96,245.81,0.05,1057.92,1005.02,491.62,6.7,506.7,2,2,0
ORD-00000080,2023-11-29,CUST-010383,PROD-0491,WH-UK-LOND-1,CAR-02,10,915.55,605.73,0.0,9155.5,9155.5,6057.3,24.75,3073.45,7,7,0
ORD-00000081,2024-09-06,CUST-008096,PROD-0612,WH-US-WEST-1,CAR-01,11,543.88,316.7,0.0,5982.68,5982.68,3483.7,37.61,2461.37,4,4,0
ORD-00000082,2024-09-02,CUST-016087,PROD-0460,WH-APAC-MELB-1,CAR-08,3,797.0,511.91,0.0,2391.0,2391.0,1535.73,34.32,820.95,7,7,0
ORD-00000083,2023-07-24,CUST-020996,PROD-1430,WH-EU-CENT-1,CAR-05,3,446.54,219.16,0.0,1339.62,1339.62,657.48,29.64,652.5,2,2,0
ORD-00000084,2024-06-14,CUST-013524,PROD-1129,WH-CA-EAST-1,CAR-01,3,482.52,307.22,0.0,1447.56,1447.56,921.66,47.31,478.59,3,3,0
ORD-00000085,2023-04-08,CUST-022398,PROD-1479,WH-US-WEST-1,CAR-04,9,1086.61,627.52,0.0,9779.49,9779.49,5647.68,23.66,4108.15,4,3,1
ORD-00000086,2023-09-10,CUST-005919,PROD-1576,WH-US-WEST-1,CAR-06,5,1495.58,791.46,0.0,7477.9,7477.9,3957.3,13.05,3507.55,2,2,0
ORD-00000087,2024-07-13,CUST-014139,PROD-0017,WH-US-CENT-1,CAR-01,7,1014.76,681.51,0.0,7103.32,7103.32,4770.57,23.15,2309.6,3,3,0
ORD-00000088,2025-12-08,CUST-001735,PROD-0315,WH-US-EAST-2,CAR-01,2,391.3,244.33,0.0,782.6,782.6,488.66,32.63,261.31,5,6,0
ORD-00000089,2024-11-25,CUST-001537,PROD-0160,WH-APAC-OSAK-1,CAR-05,1,1288.31,861.75,0.1,1288.31,1159.48,861.75,32.77,264.96,2,3,0
ORD-00000090,2025-12-13,CUST-009742,PROD-1361,WH-US-CENT-1,CAR-06,2,1220.06,854.53,0.0,2440.12,2440.12,1709.06,41.51,689.55,2,1,1
ORD-00000091,2023-03-28,CUST-001246,PROD-0110,WH-CA-EAST-1,CAR-01,1,1519.83,866.0,0.05,1519.83,1443.84,866.0,12.9,564.94,3,3,0
ORD-00000092,2025-09-26,CUST-002534,PROD-1367,WH-EU-CENT-1,CAR-05,8,1432.46,909.9,0.0,11459.68,11459.68,7279.2,13.07,4167.41,6,6,0
ORD-00000093,2024-02-19,CUST-018199,PROD-1531,WH-US-EAST-2,CAR-04,4,775.27,519.82,0.05,3101.08,2946.03,2079.28,11.49,855.26,1,1,0
ORD-00000094,2025-06-20,CUST-003527,PROD-1753,WH-UK-MANC-1,CAR-04,3,1748.45,849.57,0.0,5245.35,5245.35,2548.71,37.61,2659.03,6,7,0
ORD-00000095,2024-03-18,CUST-009324,PROD-0989,WH-UK-LOND-1,CAR-02,2,1323.92,916.15,0.0,2647.84,2647.84,1832.3,19.1,796.44,1,1,0
ORD-00000096,2023-11-06,CUST-023015,PROD-1791,WH-US-WEST-2,CAR-06,7,1228.7,911.94,0.0,8600.9,8600.9,6383.58,32.19,2185.13,3,3,0
ORD-00000097,2025-03-15,CUST-012658,PROD-1480,WH-US-EAST-1,CAR-03,11,390.74,247.73,0.0,4298.14,4298.14,2725.03,31.92,1541.19,4,4,0
ORD-00000098,2024-12-16,CUST-014966,PROD-0038,WH-US-CENT-1,CAR-04,9,1322.23,794.13,0.05,11900.07,11305.07,7147.17,34.26,4123.64,6,6,0
ORD-00000099,2024-11-12,CUST-020873,PROD-0617,WH-US-WEST-2,CAR-08,9,83.26,51.77,0.0,749.34,749.34,465.93,31.92,251.49,4,4,0
ORD-00000100,2024-08-14,CUST-020599,PROD-1953,WH-US-CENT-1,CAR-02,2,567.08,392.19,0.05,1134.16,1077.45,784.38,41.73,251.34,2,2,0
ORD-00000101,2024-06-15,CUST-015869,PROD-0860,WH-US-EAST-1,CAR-06,3,932.39,428.34,0.2,2797.17,2237.74,1285.02,43.24,909.48,5,5,0
ORD-00000102,2023-02-21,CUST-018158,PROD-1224,WH-APAC-MELB-1,CAR-02,3,963.16,628.17,0.05,2889.48,2745.01,1884.51,7.55,852.95,7,7,0
ORD-00000103,2023-04-18,CUST-012642,PROD-0575,WH-APAC-SING-1,CAR-02,8,227.58,151.41,0.15,1820.64,1547.54,1211.28,13.78,322.48,5,4,1
ORD-00000104,2024-03-08,CUST-022431,PROD-0865,WH-US-WEST-2,CAR-08,1,1099.06,628.11,0.05,1099.06,1044.11,628.11,18.63,397.37,4,4,0
ORD-00000105,2025-07-02,CUST-011197,PROD-1339,WH-APAC-SYD-1,CAR-02,10,1195.7,736.91,0.2,11957.0,9565.6,7369.1,39.7,2156.8,7,6,1
ORD-00000106,2024-09-21,CUST-017965,PROD-0961,WH-CA-EAST-1,CAR-06,2,603.23,420.63,0.0,1206.46,1206.46,841.26,45.43,319.77,4,4,0
ORD-00000107,2024-05-29,CUST-009854,PROD-1601,WH-US-EAST-1,CAR-08,6,1177.72,922.51,0.1,7066.32,6359.69,5535.06,10.86,813.77,7,7,0
ORD-00000108,2023-02-05,CUST-009863,PROD-1078,WH-US-CENT-1,CAR-02,10,597.88,471.31,0.0,5978.8,5978.8,4713.1,30.9,1234.8,2,2,0
ORD-00000109,2025-01-17,CUST-015673,PROD-1005,WH-APAC-SYD-1,CAR-04,5,391.93,229.63,0.15,1959.65,1665.7,1148.15,24.87,492.68,7,7,0
ORD-00000110,2024-04-12,CUST-008179,PROD-1240,WH-APAC-OSAK-1,CAR-02,6,1049.65,631.26,0.0,6297.9,6297.9,3787.56,20.78,2489.56,1,1,0
ORD-00000111,2025-07-06,CUST-001088,PROD-1361,WH-UK-MANC-1,CAR-02,11,1220.06,854.53,0.1,13420.66,12078.59,9399.83,13.43,2665.33,5,5,0
ORD-00000112,2025-08-22,CUST-014594,PROD-0161,WH-EU-CENT-1,CAR-07,4,976.58,758.12,0.0,3906.32,3906.32,3032.48,26.98,846.86,3,3,0
ORD-00000113,2023-02-24,CUST-023558,PROD-0461,WH-EU-WEST-1,CAR-08,7,47.65,35.7,0.0,333.55,333.55,249.9,14.54,69.11,1,1,0
ORD-00000114,2023-10-30,CUST-003490,PROD-1455,WH-US-CENT-1,CAR-02,2,525.6,328.5,0.0,1051.2,1051.2,657.0,12.09,382.11,6,6,0
ORD-00000115,2025-07-10,CUST-022545,PROD-1853,WH-APAC-SYD-1,CAR-07,1,63.65,42.79,0.0,63.65,63.65,42.79,22.15,-1.29,3,2,1
ORD-00000116,2025-12-13,CUST-012570,PROD-0186,WH-APAC-TYO-1,CAR-05,6,1091.75,551.77,0.0,6550.5,6550.5,3310.62,29.48,3210.4,6,6,0
ORD-00000117,2025-12-04,CUST-008012,PROD-0667,WH-US-WEST-2,CAR-02,2,1946.8,944.78,0.0,3893.6,3893.6,1889.56,39.33,1964.71,2,2,0
ORD-00000118,2024-03-08,CUST-002601,PROD-0082,WH-US-EAST-2,CAR-06,10,1249.52,730.72,0.1,12495.2,11245.68,7307.2,46.98,3891.5,5,6,0
ORD-00000119,2025-04-16,CUST-002490,PROD-0469,WH-UK-MANC-1,CAR-05,1,493.99,293.58,0.0,493.99,493.99,293.58,20.34,180.07,2,3,0
ORD-00000120,2023-01-26,CUST-006510,PROD-0890,WH-US-WEST-2,CAR-07,11,599.68,472.01,0.0,6596.48,6596.48,5192.11,36.13,1368.24,7,6,1
ORD-00000121,2023-03-24,CUST-023907,PROD-1036,WH-APAC-SING-1,CAR-06,10,330.43,176.68,0.0,3304.3,3304.3,1766.8,23.33,1514.17,7,7,0
ORD-00000122,2025-03-24,CUST-014691,PROD-1969,WH-CA-EAST-1,CAR-06,3,1229.57,818.28,0.0,3688.71,3688.71,2454.84,39.64,1194.23,1,1,0
ORD-00000123,2025-10-16,CUST-011574,PROD-0382,WH-UK-MANC-1,CAR-06,10,1317.44,945.26,0.05,13174.4,12515.68,9452.6,28.21,3034.87,7,6,1
ORD-00000124,2025-04-06,CUST-017200,PROD-1185,WH-EU-CENT-1,CAR-01,8,1073.34,578.1,0.15,8586.72,7298.71,4624.8,10.58,2663.33,1,1,0
ORD-00000125,2024-11-21,CUST-013286,PROD-0774,WH-US-EAST-2,CAR-03,5,1349.3,674.65,0.05,6746.5,6409.18,3373.25,29.41,3006.52,3,3,0
ORD-00000126,2023-10-06,CUST-008031,PROD-0638,WH-US-CENT-1,CAR-02,11,11.55,8.05,0.0,127.05,127.05,88.55,17.17,21.33,6,5,1
ORD-00000127,2023-01-05,CUST-024808,PROD-0499,WH-UK-MANC-1,CAR-06,8,1412.46,920.64,0.05,11299.68,10734.7,7365.12,25.75,3343.83,6,6,0
ORD-00000128,2025-11-14,CUST-007258,PROD-1939,WH-UK-MANC-1,CAR-05,9,933.61,645.78,0.1,8402.49,7562.24,5812.02,42.97,1707.25,6,7,0
ORD-00000129,2024-06-09,CUST-023702,PROD-0052,WH-US-WEST-1,CAR-02,9,1293.66,924.71,0.1,11642.94,10478.65,8322.39,33.12,2123.14,6,6,0
ORD-00000130,2025-09-16,CUST-011848,PROD-0736,WH-APAC-TYO-1,CAR-07,6,1488.12,727.54,0.0,8928.72,8928.72,4365.24,13.05,4550.43,1,1,0
ORD-00000131,2024-03-22,CUST-024424,PROD-1783,WH-APAC-MELB-1,CAR-04,4,22.52,10.3,0.15,90.08,76.57,41.2,7.24,28.13,3,3,0
ORD-00000132,2024-12-07,CUST-001479,PROD-1621,WH-UK-MANC-1,CAR-02,3,480.04,343.13,0.0,1440.12,1440.12,1029.39,16.71,394.02,5,6,0
ORD-00000133,2024-06-19,CUST-004485,PROD-0177,WH-US-WEST-1,CAR-07,8,338.04,276.35,0.0,2704.32,2704.32,2210.8,6.78,486.74,2,2,0
ORD-00000134,2023-09-29,CUST-001332,PROD-0888,WH-APAC-SYD-1,CAR-06,5,743.11,571.75,0.0,3715.55,3715.55,2858.75,21.28,835.52,5,5,0
ORD-00000135,2023-03-21,CUST-001281,PROD-1474,WH-APAC-MELB-1,CAR-03,4,1267.68,678.97,0.05,5070.72,4817.18,2715.88,38.73,2062.57,4,5,0
ORD-00000136,2023-05-18,CUST-002422,PROD-0409,WH-UK-LOND-1,CAR-03,1,1226.06,645.03,0.0,1226.06,1226.06,645.03,22.01,559.02,7,7,0
ORD-00000137,2025-06-24,CUST-011816,PROD-0645,WH-APAC-SYD-1,CAR-03,10,1402.53,797.76,0.05,14025.3,13324.04,7977.6,43.41,5303.02,6,6,0
ORD-00000138,2025-04-17,CUST-002240,PROD-0936,WH-US-EAST-1,CAR-04,6,643.15,425.57,0.1,3858.9,3473.01,2553.42,37.14,882.45,3,2,1
ORD-00000139,2023-09-07,CUST-017790,PROD-1888,WH-EU-CENT-1,CAR-05,6,226.95,166.9,0.1,1361.7,1225.53,1001.4,17.68,206.45,7,7,0
ORD-00000140,2023-11-25,CUST-023988,PROD-1702,WH-APAC-OSAK-1,CAR-01,4,1605.28,781.77,0.0,6421.12,6421.12,3127.08,15.72,3278.32,7,7,0
ORD-00000141,2024-04-04,CUST-010080,PROD-1277,WH-EU-WEST-1,CAR-06,10,756.12,589.77,0.0,7561.2,7561.2,5897.7,15.9,1647.6,7,7,0
ORD-00000142,2023-12-17,CUST-024755,PROD-1472,WH-APAC-SING-1,CAR-06,8,1042.26,627.86,0.0,8338.08,8338.08,5022.88,12.77,3302.43,4,4,0
ORD-00000143,2023-03-07,CUST-022750,PROD-0893,WH-APAC-TYO-1,CAR-08,9,962.94,570.64,0.15,8666.46,7366.49,5135.76,27.16,2203.57,4,4,0
ORD-00000144,2024-05-03,CUST-008085,PROD-1094,WH-US-EAST-2,CAR-07,7,414.6,292.83,0.0,2902.2,2902.2,2049.81,46.13,806.26,5,5,0
ORD-00000145,2024-12-30,CUST-008743,PROD-0728,WH-APAC-SYD-1,CAR-05,2,1014.15,609.3,0.1,2028.3,1825.47,1218.6,20.01,586.86,5,5,0
ORD-00000146,2025-07-26,CUST-006128,PROD-1557,WH-UK-MANC-1,CAR-04,8,996.37,803.87,0.0,7970.96,7970.96,6430.96,15.89,1524.11,4,4,0
ORD-00000147,2025-06-02,CUST-004075,PROD-0453,WH-US-WEST-2,CAR-08,3,480.46,264.88,0.0,1441.38,1441.38,794.64,8.29,638.45,7,7,0
ORD-00000148,2025-06-12,CUST-021817,PROD-1546,WH-US-EAST-1,CAR-06,4,812.68,456.48,0.1,3250.72,2925.65,1825.92,11.75,1087.98,6,6,0
ORD-00000149,2025-01-04,CUST-021289,PROD-1387,WH-EU-CENT-1,CAR-04,9,502.17,407.06,0.0,4519.53,4519.53,3663.54,11.0,844.99,6,6,0
ORD-00000150,2023-12-23,CUST-011559,PROD-0070,WH-APAC-OSAK-1,CAR-08,6,643.33,407.1,0.05,3859.98,3666.98,2442.6,38.01,1186.37,6,6,0
ORD-00000151,2023-09-25,CUST-022164,PROD-1544,WH-UK-MANC-1,CAR-01,5,1408.66,902.53,0.0,7043.3,7043.3,4512.65,35.94,2494.71,6,6,0
ORD-00000152,2023-07-17,CUST-005654,PROD-1400,WH-EU-CENT-1,CAR-08,6,166.64,95.3,0.0,999.84,999.84,571.8,41.29,386.75,1,1,0
